capability_id,source_kind,page,section,action,triggered_api,expected_result,target_feature_id,disposition,capability_status,legacy_implementation,legacy_verification,implementation_evidence,verification_evidence,domain_owner,canonical_method,canonical_path,canonical_operation_id,actor_scope,security_refs,protocol_refs,external_effect_status,migration_refs,source_evidence,notes,contract_status,domain_status,api_status,pg_status,migration_status,effect_status,shadow_status,deployment_status,resource_ref,action_ref,canonical_actor_scope,main_sha,contract_evidence_ref,domain_evidence_ref,api_evidence_ref,pg_evidence_ref,migration_evidence_ref,effect_evidence_ref,shadow_evidence_ref,deployment_evidence_ref
LEGACY-S05-011,FEATURE_MATRIX,/admin/wecom-tags,搜索、组选中与分页,本地筛选和翻页,无,对已加载的groups和tags本地过滤；每页20条,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/289;merge_sha=23ddc9f8fd40b3a74bcaeddf786480fb1003a37d;paths=cmd/aicrm/legacy_tag_api.go+cmd/aicrm/legacy_tag_execution_api.go+web/src/main.tsx+web/src/wecom-tags.ts+web/src/wecom-tags-ui.tsx;tests=cmd/aicrm/legacy_tag_api_test.go+web/src/main.test.tsx+web/src/wecom-tags.test.ts+web/src/wecom-tags-ui.test.tsx;scope=local_search_group_selection_20_page_pagination_only;catalog_snapshot=local_not_wecom_sync;status=exact_main_closed,method=post_merge_local_UI_receipt_and_protected_main_CI;command=feature-matrix-contract+repo-contract-staged+gitleaks-diff+git-diff;ci_run=32224231457;provider=NOT_EXECUTED;external=NOT_EXECUTED;deployment=NOT_EXECUTED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-011,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,本地筛选和翻页,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-012,FEATURE_MATRIX,/admin/wecom-tags,顶部操作,同步企微标签,POST /api/admin/wecom/tags/sync,成功后重新读取catalog并显示同步成功,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,NOT_STARTED,NOT_RUN,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-012,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,同步企微标签,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-013,FEATURE_MATRIX,/admin/wecom-tags,标签组,新增标签组,POST /api/admin/wecom/tag-groups,提交group_name和first_tag_name；成功后刷新并选中新组,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,"https://github.com/qianlan33333-png/AI-CRM-v2/pull/215;b535b3c84930a3bcd919019321d5164ac97be6a7;tests=cmd/aicrm/legacy_tag_api_test.go,internal/contact/app/legacy_tag_catalog_test.go;paths=cmd/aicrm/legacy_tag_api.go,internal/contact/app/legacy_tag_catalog.go,internal/contact/store/legacy_tag_catalog_repository.go",method=local_synthetic;command=go test -race ./internal/contact/app ./internal/contact/store ./cmd/aicrm and cd tools then go test ./openapi-contract;,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-013,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,新增标签组,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-014,FEATURE_MATRIX,/admin/wecom-tags,标签组,编辑组名,PUT /api/admin/wecom/tag-groups/{group_id},更新组名后刷新并保持选中,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,"https://github.com/qianlan33333-png/AI-CRM-v2/pull/215;b535b3c84930a3bcd919019321d5164ac97be6a7;tests=cmd/aicrm/legacy_tag_api_test.go,internal/contact/app/legacy_tag_catalog_test.go;paths=cmd/aicrm/legacy_tag_api.go,internal/contact/app/legacy_tag_catalog.go,internal/contact/store/legacy_tag_catalog_repository.go",method=local_synthetic;command=go test -race ./internal/contact/app ./internal/contact/store ./cmd/aicrm and cd tools then go test ./openapi-contract;,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-014,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,编辑组名,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-015,FEATURE_MATRIX,/admin/wecom-tags,标签组,删除标签组,DELETE /api/admin/wecom/tag-groups/{group_id},删除后刷新catalog,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,"https://github.com/qianlan33333-png/AI-CRM-v2/pull/215;b535b3c84930a3bcd919019321d5164ac97be6a7;tests=cmd/aicrm/legacy_tag_api_test.go,internal/contact/app/legacy_tag_catalog_test.go;paths=cmd/aicrm/legacy_tag_api.go,internal/contact/app/legacy_tag_catalog.go,internal/contact/store/legacy_tag_catalog_repository.go",method=local_synthetic;command=go test -race ./internal/contact/app ./internal/contact/store ./cmd/aicrm and cd tools then go test ./openapi-contract;,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-015,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,删除标签组,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-016,FEATURE_MATRIX,/admin/wecom-tags,标签,新增标签,POST /api/admin/wecom/tags,提交group_id、group_name、tag_name并刷新catalog,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,"https://github.com/qianlan33333-png/AI-CRM-v2/pull/215;b535b3c84930a3bcd919019321d5164ac97be6a7;tests=cmd/aicrm/legacy_tag_api_test.go,internal/contact/app/legacy_tag_catalog_test.go;paths=cmd/aicrm/legacy_tag_api.go,internal/contact/app/legacy_tag_catalog.go,internal/contact/store/legacy_tag_catalog_repository.go",method=local_synthetic;command=go test -race ./internal/contact/app ./internal/contact/store ./cmd/aicrm and cd tools then go test ./openapi-contract;,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-016,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,新增标签,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-017,FEATURE_MATRIX,/admin/wecom-tags,标签行,编辑标签,PUT /api/admin/wecom/tags/{tag_id},更新名称后重新加载catalog,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,"https://github.com/qianlan33333-png/AI-CRM-v2/pull/215;b535b3c84930a3bcd919019321d5164ac97be6a7;tests=cmd/aicrm/legacy_tag_api_test.go,internal/contact/app/legacy_tag_catalog_test.go;paths=cmd/aicrm/legacy_tag_api.go,internal/contact/app/legacy_tag_catalog.go,internal/contact/store/legacy_tag_catalog_repository.go",method=local_synthetic;command=go test -race ./internal/contact/app ./internal/contact/store ./cmd/aicrm and cd tools then go test ./openapi-contract;,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-017,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,编辑标签,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-018,FEATURE_MATRIX,/admin/wecom-tags,标签行,删除标签,DELETE /api/admin/wecom/tags/{tag_id},删除后刷新catalog,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,"https://github.com/qianlan33333-png/AI-CRM-v2/pull/215;b535b3c84930a3bcd919019321d5164ac97be6a7;tests=cmd/aicrm/legacy_tag_api_test.go,internal/contact/app/legacy_tag_catalog_test.go;paths=cmd/aicrm/legacy_tag_api.go,internal/contact/app/legacy_tag_catalog.go,internal/contact/store/legacy_tag_catalog_repository.go",method=local_synthetic;command=go test -race ./internal/contact/app ./internal/contact/store ./cmd/aicrm and cd tools then go test ./openapi-contract;,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-018,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,删除标签,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-019,FEATURE_MATRIX,/admin/wecom-tags,标签详情,查看详情、复制tag_id,无,从已加载catalog展示详情并写入Clipboard,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/293;merge_sha=edf4bb6b1f5e585fabce7662c987ee9341310b9f;paths=web/src/wecom-tags-ui.tsx+web/src/wecom-tags-ui.test.tsx;tests=web/src/wecom-tags-ui.test.tsx;scope=local_catalog_tag_name_tag_id_group_name_and_copy_tag_id_only;usage_count=NOT_EXECUTED;api=NOT_EXECUTED;provider=NOT_EXECUTED;write=NOT_EXECUTED;external=NOT_EXECUTED;deployment=NOT_EXECUTED;status=exact_main_closed,method=post_merge_local_UI_receipt_and_protected_main_CI;command=feature-matrix-contract+repo-contract-staged+gitleaks-diff+git-diff;ci_run=32226190516;scope=local_catalog_tag_name_tag_id_group_name_and_copy_tag_id_only;usage_count=NOT_EXECUTED;api=NOT_EXECUTED;provider=NOT_EXECUTED;write=NOT_EXECUTED;external=NOT_EXECUTED;deployment=NOT_EXECUTED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-019,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,查看详情、复制tag_id,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-020,FEATURE_MATRIX,/sidebar/bind-mobile,启动与身份识别,读取JSSDK配置,GET /api/sidebar/jssdk-config?url&external_userid,返回企微JSSDK配置和可能的sidebar owner context,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=/pull/545;sha=328c3e6d670f221d09be37a019e77488fd00175e;tests=w2;paths=web/src/sidebar/main.ts,method=w2;command=docs/evidence/p4/sidebar-w2.md,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-020,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/sidebar/bind-mobile,读取JSSDK配置,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
