mapping_id,legacy_path,manifest_methods,manifest_path,audience,auth_scheme,requires_auth,csrf,access_scope,capability_owner,candidate_v2_method,candidate_v2_path,candidate_v2_operation_id,target_mapping_id,legacy_disposition,signoff,discrepancy_flags,legacy_external_effects,protocol_status,source_evidence,external_effect_status,notes,caller,provider,direction,signature,encryption,oauth,request_contract,response_contract,error_contract,ack_contract,sla_contract,replay_contract,capability_ref,effect_ref,contract_status,adapter_status,fixture_status,sandbox_status,production_route_status
LEGACY-API-0574,/api/ai/audience/packages,POST,/api/ai/audience/packages,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:63-70,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0575,/api/ai/audience/packages/{package_id},GET,/api/ai/audience/packages/{package_id},external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:73-76,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0576,/api/ai/audience/packages/{package_id}/archive,POST,/api/ai/audience/packages/{package_id}/archive,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:115-119,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0577,/api/ai/audience/packages/{package_id}/events,GET,/api/ai/audience/packages/{package_id}/events,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:230-232,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0578,/api/ai/audience/packages/{package_id}/external-effects,GET,/api/ai/audience/packages/{package_id}/external-effects,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,MANIFEST_EXTERNAL_EFFECTS_STAGING_DISABLED|PUSH_OR_EFFECT_STATUS_NOT_DELIVERY_PROOF|S03-D07_MANIFEST_STAGING_DISABLED_VS_GATED_SOURCE_PATH,staging_disabled,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:235-237,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0579,/api/ai/audience/packages/{package_id}/members,GET,/api/ai/audience/packages/{package_id}/members,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:225-227,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0580,/api/ai/audience/packages/{package_id}/outbound-subscriptions,GET,/api/ai/audience/packages/{package_id}/outbound-subscriptions,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,RETIRED_OUTBOUND_SUBSCRIPTION_CONFIGURATION_NOT_ENABLED,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:163-166,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0581,/api/ai/audience/packages/{package_id}/outbound-subscriptions,POST,/api/ai/audience/packages/{package_id}/outbound-subscriptions,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,RETIRED_OUTBOUND_SUBSCRIPTION_CONFIGURATION_NOT_ENABLED,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:169-172,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0582,/api/ai/audience/packages/{package_id}/pause,POST,/api/ai/audience/packages/{package_id}/pause,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:108-112,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0583,/api/ai/audience/packages/{package_id}/preview,POST,/api/ai/audience/packages/{package_id}/preview,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:88-95,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0584,/api/ai/audience/packages/{package_id}/publish,POST,/api/ai/audience/packages/{package_id}/publish,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,AUDIENCE_INTENT_NOT_PROVIDER_SEND,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:98-105,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0585,/api/ai/audience/packages/{package_id}/refresh,POST,/api/ai/audience/packages/{package_id}/refresh,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,AUDIENCE_INTENT_NOT_PROVIDER_SEND,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:122-141,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0586,/api/ai/audience/packages/{package_id}/runs,GET,/api/ai/audience/packages/{package_id}/runs,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:220-222,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0587,/api/ai/audience/packages/{package_id}/versions,POST,/api/ai/audience/packages/{package_id}/versions,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:79-85,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0588,/api/ai/audience/packages/{package_key}/webhook,POST,/api/ai/audience/packages/{package_key}/webhook,callback,webhook_hmac,true,false,single_resource,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,AUDIENCE_INBOUND_RECORD_ONLY_NOT_PROVIDER_SEND|MANIFEST_EXTERNAL_EFFECTS_STAGING_DISABLED|S03-D07_MANIFEST_STAGING_DISABLED_VS_GATED_SOURCE_PATH,staging_disabled,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:187-200,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0589,/api/ai/audience/schema-catalog,GET,/api/ai/audience/schema-catalog,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:53-55,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0590,/api/ai/audience/source-dirty,POST,/api/ai/audience/source-dirty,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:154-160,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0591,/api/ai/audience/test-agent/webhook,POST,/api/ai/audience/test-agent/webhook,callback,webhook_hmac,true,false,single_resource,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,MANIFEST_EXTERNAL_EFFECTS_STAGING_DISABLED|S03-D04_SIMULATED_OR_TEST_RECEIPT_NOT_REAL_PROVIDER_DELIVERY|S03-D07_MANIFEST_STAGING_DISABLED_VS_GATED_SOURCE_PATH,staging_disabled,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:203-217,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0592,/api/ai/audience/ticks/daily,POST,/api/ai/audience/ticks/daily,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:149-151,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0593,/api/ai/audience/ticks/incremental,POST,/api/ai/audience/ticks/incremental,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:144-146,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
