mapping_id,legacy_path,capability_owner,auth_scheme,access_scope,legacy_external_effects,authorization_gate,effect_status,source_evidence,notes
LEGACY-API-0561,/api/admin/wecom/tags/sync-due,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:108-126,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0562,/api/admin/wecom/tags/{tag_id},customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:145-148,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0563,/api/admin/wecom/tags/{tag_id},customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:68-83,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0578,/api/ai/audience/packages/{package_id}/external-effects,ai_audience_ops,api_client_jwt,service,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/ai/ai_audience_ops/api.py:235-237,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0588,/api/ai/audience/packages/{package_key}/webhook,ai_audience_ops,webhook_hmac,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/ai/ai_audience_ops/api.py:187-200,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0591,/api/ai/audience/test-agent/webhook,ai_audience_ops,webhook_hmac,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/ai/ai_audience_ops/api.py:203-217,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0601,/api/automation/group-ops/broadcast,automation_engine,api_client_jwt,service,real_requires_approval,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/automation/automation_engine/group_ops/api.py:659-699,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0621,/api/external-effects/test-receiver,platform_foundation,webhook_hmac,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:418-424,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0622,/api/external/ai-audience/e2e/run,ai_audience_ops,api_client_jwt,service,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/ai/ai_audience_ops/external_api.py:209-230,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0661,/api/h5/radar/oauth/callback,radar_links,provider_oauth_state,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/radar/radar_links/api.py:881-901,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0662,/api/h5/radar/oauth/start,radar_links,public,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/radar/radar_links/api.py:547-559,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0664,/api/h5/service-period-products/{link_slug}/wechat-pay/jsapi/orders,service_period,payment_identity_session,self,real_requires_approval,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/commerce/service_period/api.py:942-968,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0665,/api/h5/wechat-pay/jsapi/orders,public_product,payment_identity_session,self,real_requires_approval,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/commerce/public_product/api.py:156-165,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0667,/api/h5/wechat-pay/oauth/callback,public_product,provider_oauth_state,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/commerce/public_product/api.py:142-144,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0668,/api/h5/wechat-pay/oauth/start,public_product,public,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/commerce/public_product/api.py:137-139,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0669,/api/h5/wechat-pay/orders/{out_trade_no},public_product,payment_identity_session,self,real_requires_approval,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/commerce/public_product/api.py:168-170,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0674,/api/h5/wechat/oauth/callback,questionnaire,provider_oauth_state,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/forms/questionnaire/api.py:1136-1210,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0675,/api/h5/wechat/oauth/callback,questionnaire,provider_oauth_state,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/forms/questionnaire/api.py:1213-1215,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0676,/api/h5/wechat/oauth/start,questionnaire,public,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/forms/questionnaire/api.py:1078-1128,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0677,/api/h5/wechat/oauth/start,questionnaire,public,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/forms/questionnaire/api.py:1131-1133,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0678,/api/h5/wechat/oauth/unknown,auth_wecom,public,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/auth_wecom/api.py:162-164,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0679,/api/h5/wechat/oauth/unknown,auth_wecom,public,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/auth_wecom/api.py:157-159,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0721,/api/sidebar/oauth/callback,identity_contact,provider_oauth_state,self,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/identity_contact/sidebar_jssdk.py:240-332,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0722,/api/sidebar/oauth/start,identity_contact,provider_oauth_state,self,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/identity_contact/sidebar_jssdk.py:186-237,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0751,/api/wecom/events,channel_entry,provider_signature,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/channel_entry/api.py:59-64,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0752,/auth/wecom/callback,auth_wecom,provider_oauth_state,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/auth_wecom/api.py:120-144,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0753,/auth/wecom/start,auth_wecom,provider_oauth_state,public,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/auth_wecom/api.py:97-117,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0754,/auth/wecom/unknown,auth_wecom,provider_oauth_state,public,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/auth_wecom/api.py:152-154,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0755,/auth/wecom/unknown,auth_wecom,provider_oauth_state,public,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/auth_wecom/api.py:147-149,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0762,/mcp,integration_gateway,api_client_jwt,service,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/integration_gateway/api.py:12-14,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0763,/mcp,integration_gateway,api_client_jwt,service,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/integration_gateway/api.py:17-22,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0780,/wecom/external-contact/callback,channel_entry,provider_signature,single_resource,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/channels/channel_entry/api.py:51-56,"No provider, deployment, dispatch, or external effect was run by this baseline."
