mapping_id,partition,legacy_path,legacy_route_name,manifest_methods,manifest_method_bundle,manifest_path,audience,layer,auth_scheme,requires_auth,csrf,access_scope,capability_owner,legacy_external_effects,candidate_v2_method,candidate_v2_path,candidate_v2_operation_id,target_mapping_id,legacy_disposition,signoff,discrepancy_flags,route_disposition,classification_status,source_evidence,classification,classification_reason,domain_owner_or_reassignment,candidate_v2_api_or_semantics,direct_v2_reference_count,feature_matrix_ids,classification_source_evidence,classification_evidence_refs,classification_notes
LEGACY-API-0011,S03,/admin/automation-conversion/packages/{package_id},api.admin_automation_conversion_package_detail_page,GET,GET,/admin/automation-conversion/packages/{package_id},admin,admin_page,human_session,true,false,global,ai_audience_ops,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:48-78,UI_ONLY,manifest_admin_page,ui/ai_audience_ops,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S06-017,aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:48-78,legacy-route-disposition-ledger.csv:12;aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:48-78;legacy-routes-6cb989c.json:route_index=10;docs/feature-matrix.csv:84,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0012,S03,/admin/automation-conversion/programs/{retired_path:path},retired_automation_program_page,GET,GET,/admin/automation-conversion/programs/{retired_path:path},admin,admin_page,human_session,true,false,global,ai_audience_ops,none,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UNMAPPED,NOT_MIGRATED,APPROVED,NONE,RETIRED,RETIRED,aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:81-90,RETIRED,explicit_legacy_retirement_marker,retired/ai_audience_ops,RETIRED:no_v2_candidate,0,NONE,aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:81-90,legacy-route-disposition-ledger.csv:13;aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:81-90;legacy-routes-6cb989c.json:route_index=11,explicit_legacy_retirement_marker
LEGACY-API-0013,S03,/admin/channels,api.admin_channels_page,GET,GET,/admin/channels,admin,admin_page,human_session,true,false,global,automation_engine,none,GET,/admin/channels,getLegacyChannelListPage,P4-S06-001-LOCAL-READ,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/automation/automation_engine/channel_admin_pages.py:35-68,UI_ONLY,manifest_admin_page,ui/automation_engine,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),1,NONE,aicrm_next/automation/automation_engine/channel_admin_pages.py:35-68,legacy-route-disposition-ledger.csv:14;aicrm_next/automation/automation_engine/channel_admin_pages.py:35-68;legacy-routes-6cb989c.json:route_index=12;api/openapi.yaml:3388,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0014,S03,/admin/channels/new,api.admin_channel_new_page,GET,GET,/admin/channels/new,admin,admin_page,human_session,true,false,global,automation_engine,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/automation/automation_engine/channel_admin_pages.py:71-91,UI_ONLY,manifest_admin_page,ui/automation_engine,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S06-006,aicrm_next/automation/automation_engine/channel_admin_pages.py:71-91,legacy-route-disposition-ledger.csv:15;aicrm_next/automation/automation_engine/channel_admin_pages.py:71-91;legacy-routes-6cb989c.json:route_index=13;docs/feature-matrix.csv:73,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0015,S03,/admin/channels/{channel_id:int}/edit,api.admin_channel_edit_page,GET,GET,/admin/channels/{channel_id:int}/edit,admin,admin_page,human_session,true,false,global,automation_engine,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/automation/automation_engine/channel_admin_pages.py:94-142,UI_ONLY,manifest_admin_page,ui/automation_engine,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/automation/automation_engine/channel_admin_pages.py:94-142,legacy-route-disposition-ledger.csv:16;aicrm_next/automation/automation_engine/channel_admin_pages.py:94-142;legacy-routes-6cb989c.json:route_index=14,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0016,S04,/admin/cloud-orchestrator,api.admin_cloud_orchestrator_workspace,GET,GET,/admin/cloud-orchestrator,admin,admin_page,human_session,true,false,global,cloud_orchestrator,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/growth/cloud_orchestrator/api.py:332-340,UI_ONLY,manifest_admin_page,ui/cloud_orchestrator,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-006,aicrm_next/extensions/growth/cloud_orchestrator/api.py:332-340,legacy-route-disposition-ledger.csv:17;aicrm_next/extensions/growth/cloud_orchestrator/api.py:332-340;legacy-routes-6cb989c.json:route_index=15;docs/feature-matrix.csv:118,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0017,S04,/admin/cloud-orchestrator/campaigns,api.admin_cloud_orchestrator_campaigns_workspace,GET,GET,/admin/cloud-orchestrator/campaigns,admin,admin_page,human_session,true,false,global,cloud_orchestrator,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/growth/cloud_orchestrator/api.py:370-398,UI_ONLY,manifest_admin_page,ui/cloud_orchestrator,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-007,aicrm_next/extensions/growth/cloud_orchestrator/api.py:370-398,legacy-route-disposition-ledger.csv:18;aicrm_next/extensions/growth/cloud_orchestrator/api.py:370-398;legacy-routes-6cb989c.json:route_index=16;docs/feature-matrix.csv:119,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0018,S04,/admin/cloud-orchestrator/observability,api.admin_cloud_orchestrator_observability,GET,GET,/admin/cloud-orchestrator/observability,admin,admin_page,human_session,true,false,global,cloud_orchestrator,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/growth/cloud_orchestrator/api.py:401-425,UI_ONLY,manifest_admin_page,ui/cloud_orchestrator,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-008,aicrm_next/extensions/growth/cloud_orchestrator/api.py:401-425,legacy-route-disposition-ledger.csv:19;aicrm_next/extensions/growth/cloud_orchestrator/api.py:401-425;legacy-routes-6cb989c.json:route_index=17;docs/feature-matrix.csv:120,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0019,S04,/admin/cloud-orchestrator/plans,api.admin_cloud_orchestrator_plans_workspace,GET,GET,/admin/cloud-orchestrator/plans,admin,admin_page,human_session,true,false,global,cloud_orchestrator,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/growth/cloud_orchestrator/api.py:343-367,UI_ONLY,manifest_admin_page,ui/cloud_orchestrator,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-009,aicrm_next/extensions/growth/cloud_orchestrator/api.py:343-367,legacy-route-disposition-ledger.csv:20;aicrm_next/extensions/growth/cloud_orchestrator/api.py:343-367;legacy-routes-6cb989c.json:route_index=18;docs/feature-matrix.csv:121,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0020,S04,/admin/cloud-orchestrator/plans/{plan_id},api.admin_cloud_orchestrator_plan_detail,GET,GET,/admin/cloud-orchestrator/plans/{plan_id},admin,admin_page,human_session,true,false,global,cloud_orchestrator,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/growth/cloud_orchestrator/api.py:772-797,UI_ONLY,manifest_admin_page,ui/cloud_orchestrator,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-010,aicrm_next/extensions/growth/cloud_orchestrator/api.py:772-797,legacy-route-disposition-ledger.csv:21;aicrm_next/extensions/growth/cloud_orchestrator/api.py:772-797;legacy-routes-6cb989c.json:route_index=19;docs/feature-matrix.csv:122,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0021,S02,/admin/config,api.admin_config,GET,GET,/admin/config,admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:322-339,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),1,NONE,aicrm_next/platform/admin_config/api.py:322-339,legacy-route-disposition-ledger.csv:22;aicrm_next/platform/admin_config/api.py:322-339;legacy-routes-6cb989c.json:route_index=20;api/openapi.yaml:9491,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0022,S02,/admin/config/api-clients,api.admin_config_api_clients,GET,GET,/admin/config/api-clients,admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:359-384,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S05-044,aicrm_next/platform/admin_config/api.py:359-384,legacy-route-disposition-ledger.csv:23;aicrm_next/platform/admin_config/api.py:359-384;legacy-routes-6cb989c.json:route_index=21;docs/feature-matrix.csv:45,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0023,S02,/admin/config/api-clients/new,api.admin_config_api_client_new,GET,GET,/admin/config/api-clients/new,admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:387-417,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/platform/admin_config/api.py:387-417,legacy-route-disposition-ledger.csv:24;aicrm_next/platform/admin_config/api.py:387-417;legacy-routes-6cb989c.json:route_index=22,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0024,S02,/admin/config/api-clients/{client_id},api.admin_config_api_client_detail,GET,GET,/admin/config/api-clients/{client_id},admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:420-439,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/platform/admin_config/api.py:420-439,legacy-route-disposition-ledger.csv:25;aicrm_next/platform/admin_config/api.py:420-439;legacy-routes-6cb989c.json:route_index=23,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0025,S02,/admin/config/api-key,api.admin_config_api_key,GET,GET,/admin/config/api-key,admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:342-356,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/platform/admin_config/api.py:342-356,legacy-route-disposition-ledger.csv:26;aicrm_next/platform/admin_config/api.py:342-356;legacy-routes-6cb989c.json:route_index=24,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0026,S02,/admin/config/app-settings,api.admin_config_app_settings,GET,GET,/admin/config/app-settings,admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:524-547,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),1,LEGACY-S05-053,aicrm_next/platform/admin_config/api.py:524-547,legacy-route-disposition-ledger.csv:27;aicrm_next/platform/admin_config/api.py:524-547;legacy-routes-6cb989c.json:route_index=25;api/openapi.yaml:2204;docs/feature-matrix.csv:54,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0027,S02,/admin/config/app-settings/save,api.admin_config_save_app_settings,POST,POST,/admin/config/app-settings/save,admin,admin_page,human_session,true,true,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:550-562,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),1,LEGACY-S05-053,aicrm_next/platform/admin_config/api.py:550-562,legacy-route-disposition-ledger.csv:28;aicrm_next/platform/admin_config/api.py:550-562;legacy-routes-6cb989c.json:route_index=26;api/openapi.yaml:2223;docs/feature-matrix.csv:54,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0028,S02,/admin/config/checklist,api.admin_config_checklist,GET,GET,/admin/config/checklist,admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:1452-1464,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/platform/admin_config/api.py:1452-1464,legacy-route-disposition-ledger.csv:29;aicrm_next/platform/admin_config/api.py:1452-1464;legacy-routes-6cb989c.json:route_index=27,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0029,S02,/admin/config/detail/{category_key},api.admin_config_category_detail,GET,GET,/admin/config/detail/{category_key},admin,admin_page,human_session,true,false,global,admin_config,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:442-479,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/platform/admin_config/api.py:442-479,legacy-route-disposition-ledger.csv:30;aicrm_next/platform/admin_config/api.py:442-479;legacy-routes-6cb989c.json:route_index=28,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
